Week,Hotel,2016,2017,2018,2019,2020
7,30,"$529,447 ","$483,304 ","$554,104 ","$534,978 ","$596,931 "
7,59,"$374,084 ","$394,411 ","$419,347 ","$428,773 ","$413,344 "
8,21,"$582,190 ","$617,990 ","$676,337 ","$734,227 ","$773,706 "
8,22,"$506,150 ","$587,729 ","$578,349 ","$676,199 ","$637,200 "
8,23,"$726,658 ","$844,962 ","$735,061 ","$767,370 ","$686,767 "
8,24,"$790,069 ","$741,739 ","$730,986 ","$799,048 ","$1,010,517 "
8,25,"$1,064,345 ","$1,311,997 ","$1,197,397 ","$1,499,308 ","$1,173,958 "
8,26,"$508,006 ","$574,829 ","$551,629 ","$637,792 ","$588,343 "
8,27,"$825,057 ","$952,707 ","$778,435 ","$832,135 ","$621,963 "
8,28,"$719,916 ","$677,604 ","$807,816 ","$1,084,618 ","$727,018 "
8,29,"$1,332,094 ","$1,492,893 ","$1,596,371 ","$1,743,201 ","$1,585,693 "
8,30,"$446,432 ","$538,520 ","$491,870 ","$539,949 ","$537,977 "
8,59,"$340,063 ","$424,192 ","$376,429 ","$435,282 ","$351,975 "
9,21,"$751,147 ","$699,655 ","$772,065 ","$848,886 ","$907,409 "
9,22,"$642,712 ","$636,593 ","$641,142 ","$730,477 ","$633,848 "
9,23,"$869,869 ","$870,419 ","$868,099 ","$808,288 ","$624,365 "
9,24,"$880,028 ","$828,754 ","$826,280 ","$845,272 ","$982,196 "
9,25,"$1,459,933 ","$1,507,609 ","$1,589,444 ","$1,746,961 ","$1,262,832 "
9,26,"$630,287 ","$600,044 ","$639,472 ","$646,934 ","$569,387 "
9,27,"$1,046,801 ","$1,097,688 ","$993,013 ","$844,947 ","$637,421 "
9,28,"$1,222,861 ","$947,416 ","$929,099 ","$1,313,587 ","$1,058,570 "
9,29,"$1,619,712 ","$1,754,960 ","$1,828,628 ","$1,736,481 ","$1,470,857 "
9,30,"$575,042 ","$567,117 ","$568,734 ","$563,468 ","$494,567 "
9,59,"$448,747 ","$433,295 ","$437,907 ","$417,782 ","$346,356 "
10,21,"$748,373 ","$786,421 ","$775,800 ","$921,769 ","$853,415 "
10,22,"$624,598 ","$689,208 ","$656,776 ","$754,894 ","$517,242 "
10,23,"$892,669 ","$914,731 ","$916,165 ","$822,051 ","$471,773 "
10,24,"$825,478 ","$857,272 ","$764,907 ","$853,688 ","$684,721 "
10,25,"$1,494,142 ","$1,651,036 ","$1,678,295 ","$1,829,048 ","$971,022 "
10,26,"$590,040 ","$646,282 ","$623,578 ","$678,108 ","$399,798 "
10,27,"$1,023,253 ","$1,112,090 ","$921,073 ","$857,277 ","$469,620 "
10,28,"$1,490,455 ","$1,670,536 ","$1,270,720 ","$1,689,794 ","$1,377,040 "
10,29,"$1,517,944 ","$1,649,055 ","$1,803,562 ","$1,799,021 ","$1,150,409 "
10,30,"$614,564 ","$611,365 ","$545,400 ","$565,516 ","$348,702 "
10,59,"$416,171 ","$433,708 ","$412,575 ","$431,429 ","$303,074 "
11,21,"$991,893 ","$893,187 ","$899,987 ","$981,644 ","$1,097,753 "
11,22,"$732,833 ","$674,060 ","$727,497 ","$731,887 ","$646,207 "
11,23,"$873,839 ","$806,691 ","$934,657 ","$753,857 ","$556,992 "
11,24,"$908,714 ","$763,109 ","$844,865 ","$849,244 ","$810,260 "
11,25,"$1,474,721 ","$1,342,547 ","$1,647,816 ","$1,571,139 ","$1,268,606 "
11,26,"$590,464 ","$551,395 ","$671,931 ","$644,168 ","$491,480 "
11,27,"$980,333 ","$896,223 ","$916,143 ","$768,849 ","$597,657 "
11,28,"$2,061,291 ","$1,863,890 ","$1,729,558 ","$1,851,790 ","$1,898,619 "
11,29,"$1,591,297 ","$1,392,567 ","$1,762,329 ","$1,633,150 ","$1,373,297 "
11,30,"$633,604 ","$526,977 ","$595,755 ","$529,194 ","$426,746 "
11,59,"$400,812 ","$388,168 ","$452,467 ","$403,426 ","$394,526 "
12,21,"$1,177,551 ","$1,144,109 ","$1,188,092 ","$1,217,270 ","$1,320,535 "
12,22,"$768,197 ","$798,322 ","$848,482 ","$861,552 ","$695,766 "
12,23,"$795,216 ","$884,513 ","$856,999 ","$783,860 ","$544,735 "
12,24,"$990,089 ","$920,260 ","$968,971 ","$921,322 ","$837,402 "
12,25,"$1,451,067 ","$1,537,820 ","$1,613,569 ","$1,707,469 ","$1,418,149 "
12,26,"$604,205 ","$664,315 ","$659,959 ","$731,575 ","$497,080 "
12,27,"$979,115 ","$1,063,085 ","$919,902 ","$871,871 ","$609,806 "
12,28,"$2,349,408 ","$2,293,736 ","$2,477,387 ","$2,306,505 ","$2,482,222 "
12,29,"$1,573,197 ","$1,826,679 ","$1,915,182 ","$1,850,568 ","$1,294,672 "
12,30,"$621,183 ","$633,386 ","$653,841 ","$601,013 ","$441,260 "
12,59,"$393,667 ","$476,261 ","$456,981 ","$474,773 ","$405,928 "
13,21,"$1,276,415 ","$1,236,036 ","$1,565,507 ","$1,371,450 ","$1,603,724 "
13,22,"$798,464 ","$830,536 ","$1,018,101 ","$893,671 ","$755,747 "
13,23,"$781,693 ","$866,531 ","$836,167 ","$769,400 ","$550,329 "
13,24,"$997,266 ","$935,974 ","$1,022,907 ","$946,025 ","$897,993 "
13,25,"$1,471,593 ","$1,551,503 ","$1,799,289 ","$1,719,521 ","$1,532,659 "
13,26,"$601,432 ","$633,370 ","$680,645 ","$730,361 ","$492,243 "
13,27,"$1,014,415 ","$1,074,397 ","$984,828 ","$867,429 ","$632,739 "
13,28,"$2,348,492 ","$2,586,202 ","$3,671,528 ","$2,661,885 ","$3,074,330 "
13,29,"$1,579,986 ","$1,705,421 ","$1,888,454 ","$1,928,147 ","$1,306,386 "
13,30,"$656,643 ","$663,217 ","$671,403 ","$633,707 ","$448,709 "
13,59,"$385,650 ","$445,930 ","$430,155 ","$435,854 ","$404,948 "
